_id,aabb,class,faceType,numFaces,numVerts,path
633b6e788e368ab51dbd9893,"[-0.474662,-0.975239,-0.211997,0.60201,0.989709,0.119239]",Airplane,tri,10796,5400,data\LabeledDB_new\Airplane\61.off
633b6e788e368ab51dbd9894,"[-0.80098,-0.153854,-0.930961,0.811478,0.291557,0.998526]",Airplane,tri,11234,5619,data\LabeledDB_new\Airplane\62.off
633b6e788e368ab51dbd9895,"[-0.994716,-0.124181,-0.845371,0.999786,0.277948,0.852728]",Airplane,tri,11034,5519,data\LabeledDB_new\Airplane\63.off
633b6e788e368ab51dbd9896,"[-0.768211,-0.839622,-0.145948,0.771705,0.999999,0.344887]",Airplane,tri,13590,6797,data\LabeledDB_new\Airplane\64.off
633b6e788e368ab51dbd9897,"[-0.999663,-0.856102,-0.148949,0.694503,0.86812,0.213338]",Airplane,tri,12892,6448,data\LabeledDB_new\Airplane\65.off
633b6e788e368ab51dbd9898,"[-0.996823,-0.738003,-0.10352,0.686182,0.738188,0.21937]",Airplane,tri,15474,7739,data\LabeledDB_new\Airplane\66.off
633b6e788e368ab51dbd9899,"[-0.998391,-0.812341,-0.108847,0.769229,0.812138,0.361909]",Airplane,tri,15298,7651,data\LabeledDB_new\Airplane\67.off
633b6e788e368ab51dbd989a,"[-0.848046,-0.878466,-0.098027,0.557457,0.896592,0.300253]",Airplane,tri,11162,5583,data\LabeledDB_new\Airplane\68.off
633b6e788e368ab51dbd989b,"[-0.619228,-0.943391,-0.109835,0.801149,0.955314,0.267849]",Airplane,tri,13398,6701,data\LabeledDB_new\Airplane\69.off
633b6e788e368ab51dbd989c,"[-0.627547,-0.985593,-0.172914,0.560331,0.998846,0.249105]",Airplane,tri,11258,5631,data\LabeledDB_new\Airplane\70.off
633b6e788e368ab51dbd989d,"[-0.837649,-0.981945,-0.123477,0.772863,0.996448,0.312948]",Airplane,tri,11694,5849,data\LabeledDB_new\Airplane\71.off
633b6e788e368ab51dbd989e,"[-0.80012,-0.984225,-0.0927,0.647983,0.994715,0.285447]",Airplane,tri,10452,5228,data\LabeledDB_new\Airplane\72.off
633b6e788e368ab51dbd989f,"[-0.893653,-0.972319,-0.121931,0.685518,0.984913,0.273367]",Airplane,tri,10214,5109,data\LabeledDB_new\Airplane\73.off
633b6e788e368ab51dbd98a0,"[-0.761723,-0.974584,-0.128179,0.600973,0.983564,0.265496]",Airplane,tri,10084,5044,data\LabeledDB_new\Airplane\74.off
633b6e788e368ab51dbd98a1,"[-0.999113,-0.831949,-0.126864,0.749629,0.841249,0.156793]",Airplane,tri,17354,8679,data\LabeledDB_new\Airplane\75.off
633b6e788e368ab51dbd98a2,"[-0.997913,-0.731944,-0.126016,0.835326,0.74372,0.328565]",Airplane,tri,11842,5923,data\LabeledDB_new\Airplane\76.off
633b6e788e368ab51dbd98a3,"[-0.872611,-0.112446,-0.999263,0.874968,0.338923,0.787391]",Airplane,tri,13170,6587,data\LabeledDB_new\Airplane\77.off
633b6e788e368ab51dbd98a4,"[-0.997793,-0.903584,-0.121189,0.826732,0.904432,0.482449]",Airplane,tri,14936,7470,data\LabeledDB_new\Airplane\78.off
633b6e788e368ab51dbd98a5,"[-0.897625,-0.966108,-0.103375,0.679039,0.986011,0.464878]",Airplane,tri,13374,6689,data\LabeledDB_new\Airplane\79.off
633b6e788e368ab51dbd98a6,"[-0.915754,-0.975754,-0.113978,0.632621,0.946888,0.423782]",Airplane,tri,14698,7351,data\LabeledDB_new\Airplane\80.off
633b6e788e368ab51dbd98a7,"[-0.377489,-0.812319,-0.529768,0.3787,0.869013,0.541718]",Ant,tri,16124,8064,data\LabeledDB_new\Ant\100.off
633b6e788e368ab51dbd98a8,"[-0.48686,-0.977877,-0.484288,0.417165,0.845361,0.241441]",Ant,tri,12736,6370,data\LabeledDB_new\Ant\81.off
633b6e788e368ab51dbd98a9,"[-0.487613,-0.860302,-0.579611,0.618473,0.922078,0.394064]",Ant,tri,16594,8299,data\LabeledDB_new\Ant\82.off
633b6e788e368ab51dbd98aa,"[-0.611593,-0.942824,-0.314417,0.487833,0.927874,0.299502]",Ant,tri,12748,6376,data\LabeledDB_new\Ant\83.off
633b6e788e368ab51dbd98ab,"[-0.43863,-0.822991,-0.459985,0.42824,0.927339,0.487656]",Ant,tri,13696,6850,data\LabeledDB_new\Ant\84.off
633b6e788e368ab51dbd98ac,"[-0.630332,-0.814198,-0.201516,0.462543,0.935331,0.408109]",Ant,tri,16772,8388,data\LabeledDB_new\Ant\85.off
633b6e788e368ab51dbd98ad,"[-0.330663,-0.925771,-0.480266,0.310102,0.900537,0.355275]",Ant,tri,14072,7038,data\LabeledDB_new\Ant\86.off
633b6e788e368ab51dbd98ae,"[-0.565668,-0.875761,-0.548266,0.662331,0.962997,0.307246]",Ant,tri,14936,7470,data\LabeledDB_new\Ant\87.off
633b6e788e368ab51dbd98af,"[-0.760446,-0.844331,-0.638264,0.750407,0.981235,0.374887]",Ant,tri,16416,8210,data\LabeledDB_new\Ant\88.off
633b6e788e368ab51dbd98b0,"[-0.546172,-0.888764,-0.209979,0.480063,0.919898,0.428371]",Ant,tri,15304,7654,data\LabeledDB_new\Ant\89.off
